DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	13	3	1	2	1	1	1
1	13	3	2	1	1	1	1
1	13	4	2	1	2	1	1
1	13	4	2	2	2	1	1
1	13	4	3	1	1	1	1
1	13	5	1	1	1	1	2
1	13	6	1	2	1	1	1
1	13	7	1	1	1	2	1
1	13	9	3	2	3	2	1
1	14	3	2	1	2	1	1
1	14	4	1	1	1	1	1
1	14	4	3	2	2	2	1
1	14	6	2	2	1	1	1
1	14	6	2	2	2	1	2
1	14	7	2	1	2	1	2
1	15	4	2	1	1	1	1
1	15	5	1	1	1	1	1
1	15	5	1	1	1	2	1
1	15	6	1	2	1	1	2
1	15	6	2	1	1	2	1
1	15	6	2	2	1	1	2
1	15	6	3	2	1	1	1
1	15	6	3	2	2	2	1
1	15	7	3	2	2	2	1
1	16	4	3	1	2	1	1
1	16	6	1	1	1	2	1
1	16	6	2	1	1	1	1
1	16	7	1	2	1	1	1
1	16	9	2	1	3	1	1
1	17	6	1	3	1	1	3
1	17	6	2	2	2	2	1
1	17	8	3	2	2	2	1
1	18	8	2	1	1	2	1
1	18	9	1	1	1	2	2
1	19	9	3	3	2	2	1
2	1	1	1	1	1	1	1
2	1	1	1	2	1	1	1
2	1	3	2	3	1	1	1
2	1	4	2	2	2	1	1
2	1	6	1	2	1	1	1
2	1	6	2	2	2	2	1
2	1	8	2	3	1	2	1
2	2	1	2	1	1	1	1
2	2	5	1	2	1	1	2
2	2	5	2	2	2	1	1
2	2	6	2	3	2	1	1
2	2	6	3	2	3	2	1
2	2	7	2	3	1	2	1
2	2	8	1	2	1	1	2
2	2	8	1	2	1	2	1
2	2	9	2	2	1	2	1
2	2	10	1	2	1	2	2
2	2	15	1	1	1	2	2
2	3	1	2	1	2	1	1
2	3	2	3	1	2	1	1
2	3	4	2	1	1	1	1
2	3	6	1	1	1	1	1
2	3	7	1	2	1	1	1
2	3	7	2	2	3	2	1
2	3	7	3	2	2	2	2
2	3	8	2	2	1	2	1
2	3	10	1	1	1	1	2
2	4	1	2	2	1	1	1
2	4	7	1	1	1	1	1
2	4	9	1	1	1	1	1
2	4	10	2	1	1	2	2
2	4	11	3	3	1	2	2
2	4	12	2	2	1	2	3
2	5	1	3	1	2	1	1
2	5	2	2	2	2	1	1
2	5	6	2	2	1	2	1
2	5	6	3	2	3	1	1
2	5	8	1	1	1	2	2
2	5	9	3	3	3	2	1
2	5	10	1	1	1	2	2
2	5	10	2	3	1	2	1
2	5	11	1	1	1	2	2
2	5	13	1	1	1	2	3
2	6	11	1	2	1	2	2
2	7	8	2	2	2	2	2
2	7	9	2	2	1	2	2
2	7	11	1	3	1	2	1
2	7	11	2	2	1	2	2
2	8	12	1	1	1	2	1
2	8	12	1	2	1	2	2
2	8	12	2	1	1	2	2
2	9	13	1	1	1	2	1
2	10	8	2	2	1	1	1
2	10	13	1	1	1	2	2
2	10	15	1	2	1	2	3
2	10	15	2	1	1	2	3
2	11	7	1	2	1	1	2
2	11	9	1	3	1	2	2
2	11	13	2	2	1	2	2
2	11	15	2	1	1	2	2
2	11	15	2	3	2	2	2
2	12	5	3	2	3	1	1
2	12	15	2	3	1	2	2
2	12	17	2	3	1	3	3
2	13	2	1	1	1	1	1
2	13	2	1	2	1	1	1
2	13	2	2	1	1	1	1
2	13	2	2	1	2	1	1
2	13	2	2	2	1	1	1
2	13	3	1	3	1	1	1
2	13	3	2	1	2	1	1
2	13	3	2	2	1	1	1
2	13	4	1	1	1	1	2
2	13	8	3	2	2	2	1
2	14	2	2	3	1	1	1
2	14	3	2	1	1	1	1
2	14	3	2	2	2	1	1
2	14	3	3	2	2	1	1
2	14	4	3	3	2	1	1
2	14	5	1	2	1	1	1
2	14	5	2	1	1	1	1
2	14	5	2	2	1	1	1
2	14	7	2	2	1	1	1
2	15	2	2	3	2	1	1
2	15	3	3	1	2	1	1
2	15	4	1	1	1	1	1
2	15	4	2	1	2	1	1
2	15	4	2	3	1	1	1
2	15	5	1	1	1	1	1
2	15	6	3	3	3	2	1
2	15	7	1	3	1	1	2
2	15	7	2	1	1	1	1
2	15	8	1	1	1	1	1
2	15	8	1	3	1	2	2
2	15	8	2	2	1	2	2
2	15	9	2	3	1	2	2
2	16	2	3	2	2	1	1
2	16	5	3	3	3	1	1
2	16	6	1	3	1	1	1
2	16	6	2	2	1	1	1
2	16	7	1	1	1	2	2
2	16	7	3	2	3	2	1
2	16	8	2	1	1	1	1
2	16	9	1	1	1	2	1
2	16	9	1	2	1	2	2
2	17	3	1	1	1	1	1
2	17	4	1	2	1	1	1
2	17	4	2	1	1	1	2
2	17	4	2	2	1	1	1
2	17	4	3	2	2	1	1
2	17	4	3	2	3	1	1
2	17	4	3	3	1	1	1
2	17	5	1	1	1	1	2
2	17	5	2	2	1	1	2
2	17	5	3	2	3	2	1
2	17	5	3	3	2	2	1
2	17	6	2	3	1	1	1
2	17	7	1	1	1	1	2
2	17	9	3	3	3	2	2
2	18	3	1	2	1	1	1
2	19	5	1	3	1	1	1
2	20	5	2	3	1	1	1
2	20	8	1	2	1	1	1
2	21	6	1	1	1	1	2
2	22	7	2	2	1	2	1
2	22	8	1	1	1	1	2
2	23	8	3	3	2	2	2
3	1	1	1	1	1	1	1
3	1	3	1	1	1	1	2
3	1	6	1	2	1	1	1
3	1	9	1	1	1	1	1
3	2	10	1	1	1	1	1
3	3	10	1	1	1	2	1
3	4	5	2	2	1	1	1
3	4	8	1	1	1	2	2
3	4	10	1	1	1	2	2
3	4	10	1	2	1	2	1
3	5	9	2	2	1	2	1
3	5	10	1	2	1	2	2
3	5	13	1	1	1	2	2
3	6	7	1	1	1	1	2
3	6	9	1	1	1	1	2
3	6	9	1	2	1	2	2
3	6	10	2	2	1	2	2
3	6	11	1	1	1	1	2
3	6	11	1	1	1	2	1
3	6	11	2	2	1	2	2
3	6	12	1	1	1	2	1
3	7	8	1	1	1	2	1
3	7	11	1	1	1	2	2
3	7	11	1	2	1	2	2
3	7	12	1	1	1	2	3
3	8	7	1	2	1	1	1
3	8	12	1	2	1	2	2
3	8	13	1	1	1	2	1
3	9	5	1	2	1	1	1
3	9	7	1	2	1	1	2
3	9	12	2	1	1	2	2
3	9	13	2	1	1	2	2
3	9	13	2	1	1	2	3
3	10	17	1	1	1	3	3
3	11	2	1	1	1	1	1
3	11	2	1	2	1	1	1
3	11	2	2	2	1	1	1
3	11	3	1	1	1	1	1
3	11	3	2	2	1	1	1
3	11	8	1	2	1	2	1
3	12	3	1	2	1	1	1
3	12	5	1	1	1	1	1
3	12	5	1	1	1	1	2
3	12	8	2	1	1	1	2
3	13	3	2	1	1	1	1
3	13	4	1	1	1	1	1
3	13	4	1	1	1	1	2
3	13	4	1	2	1	1	1
3	13	4	2	1	1	1	1
3	13	8	1	2	1	1	1
3	14	5	2	1	1	1	1
3	14	6	1	1	1	1	1
3	14	6	1	3	1	1	2
3	14	8	1	2	1	1	2
3	15	6	1	1	1	1	2
3	15	9	1	1	1	2	2
3	16	6	2	2	1	1	1
3	16	7	1	1	1	1	1
3	17	8	1	1	1	1	1
3	17	8	1	1	1	1	2
3	17	8	2	2	1	2	1
4	1	1	1	1	1	1	1
4	1	5	1	1	1	1	1
4	1	5	3	2	1	1	1
4	1	6	1	2	1	1	2
4	1	7	1	1	1	1	2
4	1	7	1	2	1	1	2
4	1	7	2	3	1	1	1
4	1	8	1	1	1	1	1
4	1	8	1	2	1	1	1
4	1	10	1	2	1	2	2
4	1	12	1	2	1	2	1
4	2	2	1	1	1	1	1
4	2	2	1	2	1	1	1
4	2	6	1	1	1	1	2
4	2	6	2	2	1	1	1
4	2	7	1	1	1	1	1
4	2	7	1	2	1	1	1
4	2	7	2	2	1	1	1
4	2	8	1	2	1	1	2
4	2	8	1	2	1	2	1
4	2	8	1	2	1	2	2
4	2	9	1	1	1	1	1
4	2	9	1	1	1	1	2
4	2	10	1	1	1	2	1
4	2	10	1	2	1	1	2
4	2	10	1	2	1	2	1
4	2	11	1	2	1	2	1
4	2	12	1	1	1	2	1
4	2	12	1	1	1	2	2
4	2	12	2	3	1	2	2
4	2	13	2	2	1	2	2
4	3	9	1	1	1	2	1
4	3	10	1	3	1	2	1
4	3	10	2	3	1	2	2
4	3	11	1	1	1	2	1
4	3	11	1	1	1	2	2
4	3	11	1	2	1	2	2
4	3	12	1	2	1	2	3
4	4	11	2	3	1	2	2
4	4	12	1	2	1	2	2
4	4	13	1	1	1	2	1
4	4	13	1	2	1	2	2
4	4	14	1	1	1	2	2
4	4	14	2	3	1	2	2
4	5	12	2	2	1	2	2
4	5	14	1	2	1	2	2
4	5	16	3	3	1	3	3
4	6	18	3	2	1	3	3
4	7	3	1	1	1	1	1
4	7	4	1	1	1	1	1
4	7	4	1	2	1	1	1
4	7	5	1	1	1	1	2
4	7	5	1	2	1	1	1
4	7	6	1	1	1	1	1
4	7	7	2	2	1	1	2
4	7	8	1	1	1	1	2
4	7	9	1	2	1	2	1
4	8	3	1	2	1	1	1
4	8	6	1	2	1	1	1
4	9	8	1	1	1	2	1
5	1	1	1	1	1	1	1
5	1	2	1	1	1	1	1
5	1	3	1	2	1	1	1
5	1	4	2	2	1	1	1
5	1	4	2	3	1	1	1
5	1	4	3	1	1	1	1
5	1	5	1	1	1	1	1
5	1	5	2	1	2	1	2
5	1	6	1	2	1	1	2
5	1	6	2	3	2	1	1
5	1	6	3	2	3	1	1
5	1	7	1	1	1	1	1
5	2	1	1	1	2	1	1
5	2	2	1	2	2	1	1
5	2	3	1	1	1	1	1
5	2	3	1	3	1	1	1
5	2	3	2	1	2	1	1
5	2	4	2	1	1	1	1
5	2	5	2	3	1	1	1
5	2	5	3	3	2	1	1
5	2	6	2	1	1	1	1
5	2	6	2	2	2	2	1
5	2	6	3	3	1	1	1
5	2	8	1	2	1	2	2
5	2	9	1	1	1	2	1
5	2	9	1	2	1	2	1
5	2	9	2	3	2	2	2
5	3	1	1	1	3	1	1
5	3	2	2	1	1	1	1
5	3	3	2	1	1	1	1
5	3	4	2	1	2	1	1
5	3	7	3	2	3	2	1
5	3	8	1	1	1	1	2
5	4	1	1	2	3	1	1
5	4	6	1	1	1	1	2
5	5	1	2	1	1	1	1
5	5	1	2	1	2	1	1
5	5	2	1	2	1	1	1
5	5	3	2	2	1	1	1
5	5	3	2	3	1	1	1
5	5	5	2	2	1	1	1
5	5	6	1	1	1	1	1
5	5	7	2	2	2	1	1
5	5	8	1	2	1	1	2
5	5	8	1	3	1	2	1
5	5	8	3	3	2	2	1
5	5	10	1	2	1	1	2
5	6	1	2	1	3	1	1
5	6	1	2	2	1	1	1
5	6	3	2	2	3	1	1
5	6	6	2	3	1	1	1
5	6	10	1	2	1	2	2
5	7	1	3	1	1	1	1
5	7	1	3	2	3	1	1
5	7	2	3	2	2	1	1
5	7	10	1	3	1	2	2
5	8	4	2	1	3	1	1
5	8	5	2	1	1	1	1
5	8	5	2	3	2	1	1
5	8	8	2	2	2	1	1
5	8	10	1	1	1	1	1
5	8	10	1	1	1	2	2
5	8	10	1	2	1	2	1
5	8	10	2	3	1	2	2
5	9	3	2	1	3	1	1
5	9	5	3	1	1	1	1
5	9	5	3	2	2	1	1
5	9	6	2	2	1	1	1
5	9	6	2	2	2	1	2
5	9	10	3	3	3	2	2
5	9	11	1	1	1	2	2
5	10	5	2	2	2	1	1
5	10	11	1	2	1	2	2
5	10	11	1	3	1	2	2
5	10	12	1	2	1	2	2
5	10	13	1	1	1	2	2
5	10	13	2	2	1	2	2
5	11	2	3	1	3	1	1
5	11	6	2	2	1	1	2
5	11	11	2	3	1	2	2
5	11	15	2	2	1	2	3
5	11	16	2	3	1	3	3
5	12	2	2	2	1	1	1
5	12	4	2	2	3	1	1
5	12	4	3	1	3	1	1
5	12	5	3	2	3	1	1
5	12	6	1	3	1	1	1
5	12	7	1	3	1	2	1
5	12	8	1	1	2	2	1
5	12	8	1	2	1	2	1
5	12	8	3	3	3	2	2
5	12	11	3	3	3	2	2
5	12	12	1	1	1	2	2
5	12	13	1	3	1	2	2
5	12	13	2	3	1	2	2
5	12	14	2	3	1	2	3
5	13	2	2	1	2	1	1
5	13	2	3	1	1	1	1
5	13	2	3	1	2	1	1
5	13	2	3	2	3	1	1
5	13	3	2	2	2	1	1
5	13	4	1	2	1	1	1
5	13	4	1	3	1	1	1
5	13	4	3	2	2	1	1
5	13	6	2	1	2	1	1
5	13	6	2	1	2	1	2
5	13	6	3	2	2	1	1
5	13	7	2	1	2	1	2
5	13	8	2	2	2	2	1
5	13	8	2	3	1	2	2
5	13	8	3	2	2	1	2
5	13	9	1	2	1	2	2
5	14	3	3	1	1	1	1
5	14	3	3	2	2	1	1
5	14	3	3	2	3	1	1
5	14	5	1	2	1	1	1
5	14	5	2	1	2	1	1
5	14	6	1	2	1	1	1
5	14	7	1	2	1	1	1
5	14	7	2	2	1	1	1
5	14	7	2	3	2	1	1
5	15	4	1	1	1	1	1
5	15	7	1	2	1	1	2
5	15	7	1	3	1	1	2
5	15	9	1	1	1	2	2
5	16	4	2	2	2	1	1
5	16	4	3	2	3	1	1
5	16	5	1	3	1	1	1
5	16	7	1	1	1	1	2
5	16	7	2	2	2	1	2
5	16	8	3	2	2	1	1
5	17	7	1	3	1	1	1
5	18	7	2	1	1	1	2
5	19	9	2	2	1	1	2
6	1	1	1	1	1	1	1
6	1	1	1	1	2	1	1
6	1	4	2	1	1	1	1
6	1	4	2	2	1	1	1
6	1	5	1	1	1	1	1
6	1	5	2	1	1	1	1
6	1	5	2	2	1	1	1
6	1	5	3	2	2	1	1
6	1	5	3	2	3	1	1
6	1	8	1	3	1	1	1
6	1	8	2	2	1	1	1
6	1	10	1	1	1	1	2
6	1	10	1	2	1	1	2
6	2	1	1	1	3	1	1
6	2	1	2	1	1	1	1
6	2	1	2	1	2	1	1
6	2	2	1	2	1	1	1
6	2	3	2	2	1	1	1
6	2	6	2	2	2	1	1
6	2	9	1	1	1	2	1
6	2	9	2	2	1	2	1
6	2	10	1	2	1	2	2
6	3	5	2	2	2	1	1
6	3	6	2	2	1	1	1
6	3	10	1	1	1	2	2
6	3	10	2	2	1	2	1
6	3	11	1	1	1	2	1
6	3	11	2	3	1	2	2
6	4	5	1	3	1	1	1
6	4	6	1	3	1	1	1
6	4	10	2	2	1	1	2
6	4	11	3	3	2	2	2
6	4	12	1	3	1	2	2
6	5	12	1	2	1	2	1
6	5	12	1	2	1	2	2
6	5	13	2	3	1	2	2
6	5	14	1	2	1	2	3
6	5	16	1	1	1	2	2
6	6	2	2	1	2	1	1
6	6	2	3	3	1	1	1
6	6	7	2	2	2	1	1
6	6	7	3	3	2	1	1
6	6	12	3	3	2	2	2
6	6	13	1	2	1	2	2
6	6	14	2	2	1	2	2
6	7	2	1	1	1	1	1
6	7	2	2	1	1	1	1
6	7	2	2	2	1	1	1
6	7	2	2	2	2	1	1
6	7	3	1	2	1	1	1
6	7	3	2	1	3	1	1
6	7	3	2	2	2	1	1
6	7	4	2	1	2	1	1
6	7	4	2	3	2	1	1
6	7	7	1	2	1	1	1
6	7	7	1	2	1	1	2
6	7	7	2	1	1	1	2
6	7	7	2	3	1	1	1
6	7	7	3	2	3	1	1
6	7	8	1	2	1	1	1
6	7	8	2	1	1	1	1
6	7	8	2	2	1	1	2
6	7	8	2	3	1	1	1
6	7	9	1	3	1	2	1
6	8	2	3	1	2	1	1
6	8	4	1	3	1	1	1
6	8	5	2	3	1	1	1
6	8	6	2	3	1	1	2
6	8	7	2	2	1	1	1
6	8	9	2	3	1	2	2
6	9	3	1	1	1	1	1
6	9	3	2	1	2	1	1
6	9	3	3	3	2	1	1
6	9	4	1	1	1	1	1
6	9	4	1	1	3	1	1
6	9	4	1	2	1	1	1
6	9	4	3	2	1	1	1
6	9	4	3	3	3	2	1
6	9	6	3	3	2	2	1
6	9	7	1	2	1	2	1
6	9	9	2	3	1	2	1
6	10	4	2	3	1	1	1
6	10	5	1	1	1	1	2
6	10	5	1	2	1	1	1
6	10	6	1	1	1	1	1
6	10	6	1	2	1	1	1
6	10	6	1	2	1	1	2
6	11	5	1	2	1	1	2
6	11	6	3	3	2	1	1
6	11	7	1	1	1	1	2
6	11	7	2	3	1	2	2
6	11	8	1	1	1	1	2
6	11	8	2	3	1	2	1
6	11	8	3	2	2	1	2
6	11	9	1	1	1	1	1
6	11	9	1	3	1	1	2
6	12	7	3	2	2	1	1
6	12	7	3	2	2	2	1
6	12	8	3	3	3	2	1
6	13	9	1	2	1	1	2
7	1	1	1	1	1	1	1
7	1	1	2	1	1	1	1
7	1	4	3	1	1	1	1
7	2	1	1	1	2	1	1
7	3	1	2	1	2	1	1
7	3	2	2	1	1	1	1
7	3	3	1	1	1	1	1
7	4	1	3	1	1	1	1
7	4	3	2	1	1	1	2
7	4	5	1	1	1	1	2
7	4	6	1	1	1	1	1
7	5	4	3	1	3	1	1
7	5	7	2	1	1	1	2
7	5	9	1	1	1	2	1
7	5	9	2	1	1	2	2
7	5	10	1	1	1	1	1
7	5	14	2	1	1	2	1
7	6	2	3	1	2	1	1
7	6	9	3	1	1	2	2
7	6	10	1	1	1	2	2
7	7	6	1	1	1	1	2
7	7	12	2	2	1	2	2
7	7	13	2	1	1	2	2
7	8	2	1	1	1	1	1
7	8	2	2	1	2	1	1
7	8	3	2	1	1	1	1
7	9	3	1	1	1	1	2
7	9	4	1	1	1	1	1
7	9	4	1	1	1	1	2
7	9	4	2	1	1	1	1
7	9	5	2	1	1	1	1
7	9	7	1	1	1	1	1
7	10	3	3	1	1	1	1
7	10	3	3	1	2	1	1
7	10	5	1	1	1	1	1
7	10	8	1	1	1	2	1
7	10	9	1	1	1	1	1
7	11	7	1	1	1	1	2
7	11	8	1	1	1	1	1
7	11	9	1	1	1	2	2
