DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	9	5	1	3	1	1	2
1	9	6	1	1	1	2	1
1	9	6	1	2	1	2	1
1	9	6	2	2	1	1	1
1	9	6	2	2	1	1	2
1	9	6	3	3	3	2	1
1	9	7	3	2	2	2	1
1	9	8	3	2	2	2	1
1	10	2	2	2	1	1	1
1	10	4	1	1	1	1	1
1	10	4	1	1	1	1	2
1	10	4	1	2	1	1	1
1	10	4	1	2	1	1	2
1	10	4	2	2	2	1	1
1	10	5	1	2	1	1	1
1	10	5	2	1	1	1	1
1	10	5	3	1	2	1	1
1	10	6	1	1	1	1	1
1	10	6	1	2	1	1	2
1	10	6	1	3	1	1	3
1	10	6	2	1	1	1	1
1	10	6	3	2	1	1	1
1	10	7	2	1	2	1	2
1	10	8	1	1	1	2	1
1	10	8	1	2	1	1	2
1	10	9	1	1	1	1	1
1	10	9	1	1	1	1	2
1	10	9	2	1	1	1	3
2	1	1	1	1	1	1	1
2	1	1	1	2	1	1	1
2	1	2	1	2	1	1	1
2	1	2	2	1	2	1	1
2	1	3	2	1	1	1	1
2	1	4	3	2	3	1	1
2	1	6	2	2	2	2	1
2	1	6	3	2	3	1	1
2	2	1	2	1	1	1	1
2	2	4	1	2	1	1	1
2	2	5	1	2	1	1	2
2	2	5	3	2	3	1	1
2	2	9	1	2	1	2	2
2	3	1	2	1	2	1	1
2	3	4	2	1	2	1	1
2	3	5	1	1	1	1	1
2	3	5	1	2	1	1	1
2	3	5	2	2	1	1	1
2	3	6	2	3	2	1	1
2	4	1	2	2	1	1	1
2	4	2	2	1	1	1	1
2	4	6	1	3	1	1	1
2	4	7	1	1	1	1	2
2	4	8	1	1	1	1	2
2	4	8	3	2	2	2	1
2	5	1	3	1	2	1	1
2	5	9	1	1	1	2	1
2	5	10	1	1	1	1	2
2	5	10	1	1	1	2	2
2	5	12	2	2	1	2	3
2	6	7	3	2	2	2	2
2	6	8	2	2	1	1	1
2	6	9	3	3	3	2	2
2	6	10	1	2	1	2	2
2	7	9	1	1	1	1	1
2	7	10	2	1	1	2	2
2	7	10	2	3	1	2	1
2	7	11	1	1	1	2	2
2	7	11	1	2	1	2	2
2	8	11	1	3	1	2	1
2	8	15	2	3	2	2	2
2	9	9	3	3	3	2	1
2	9	11	2	2	1	2	2
2	9	12	1	1	1	2	1
2	9	13	1	1	1	2	2
2	10	4	2	1	1	1	2
2	10	7	1	1	1	1	1
2	10	8	1	2	1	1	1
2	10	8	1	2	1	1	2
2	10	11	3	3	1	2	2
2	10	12	1	2	1	2	2
2	10	12	2	1	1	2	2
2	10	13	1	1	1	2	1
2	11	13	1	1	1	2	3
2	11	13	2	2	1	2	2
2	11	15	1	1	1	2	2
2	11	15	1	2	1	2	3
2	11	15	2	1	1	2	2
2	12	15	2	1	1	2	3
2	13	15	2	3	1	2	2
2	13	17	2	3	1	3	3
2	14	2	1	1	1	1	1
2	14	2	2	2	1	1	1
2	14	2	2	2	2	1	1
2	14	2	2	3	1	1	1
2	14	2	2	3	2	1	1
2	14	2	3	1	2	1	1
2	14	2	3	2	2	1	1
2	14	3	1	1	1	1	1
2	14	3	3	2	2	1	1
2	14	4	1	1	1	1	2
2	14	7	2	2	1	2	1
2	14	8	2	2	1	2	1
2	15	3	1	2	1	1	1
2	15	3	1	3	1	1	1
2	15	3	2	1	2	1	1
2	15	3	2	2	1	1	1
2	15	3	2	2	2	1	1
2	15	3	2	3	1	1	1
2	15	4	1	1	1	1	1
2	15	4	2	3	1	1	1
2	15	6	3	3	3	2	1
2	15	7	3	2	3	2	1
2	15	8	1	3	1	2	2
2	15	8	2	2	2	2	2
2	15	8	2	3	1	2	1
2	16	3	3	1	2	1	1
2	16	4	2	1	1	1	1
2	16	4	2	2	1	1	1
2	16	4	2	2	2	1	1
2	16	4	3	2	2	1	1
2	16	4	3	3	2	1	1
2	16	5	1	3	1	1	1
2	16	5	2	1	1	1	1
2	16	5	2	2	1	1	2
2	16	5	2	2	2	1	1
2	16	5	3	3	2	2	1
2	16	5	3	3	3	1	1
2	16	6	1	1	1	1	1
2	16	6	2	2	1	1	1
2	16	6	2	3	1	1	1
2	16	7	1	1	1	2	2
2	16	7	2	2	1	1	1
2	17	4	3	3	1	1	1
2	17	5	1	1	1	1	2
2	17	5	2	3	1	1	1
2	17	5	3	2	3	2	1
2	17	6	1	1	1	1	2
2	17	6	1	2	1	1	1
2	17	6	2	2	1	2	1
2	17	6	3	2	3	2	1
2	17	7	1	2	1	1	1
2	17	7	1	2	1	1	2
2	17	7	1	3	1	1	2
2	17	7	2	1	1	1	1
2	17	7	2	2	3	2	1
2	17	7	2	3	1	2	1
2	17	8	1	1	1	1	1
2	17	8	1	1	1	2	2
2	17	8	1	2	1	2	1
2	17	8	2	1	1	1	1
2	17	8	2	2	1	2	2
2	17	8	3	3	2	2	2
2	17	9	1	3	1	2	2
2	17	9	2	2	1	2	1
2	17	9	2	2	1	2	2
2	17	9	2	3	1	2	2
3	1	1	1	1	1	1	1
3	1	5	2	2	1	1	1
3	1	6	1	2	1	1	1
3	1	8	2	2	1	2	1
3	2	3	1	1	1	1	2
3	2	3	2	2	1	1	1
3	2	8	1	1	1	1	1
3	2	10	1	1	1	1	1
3	2	10	1	1	1	2	1
3	3	8	1	2	1	1	2
3	3	9	1	1	1	1	2
3	3	10	1	1	1	2	2
3	3	10	2	2	1	2	2
3	3	12	1	2	1	2	2
3	4	10	1	2	1	2	1
3	5	8	1	2	1	1	1
3	5	10	1	2	1	2	2
3	5	11	1	1	1	1	2
3	5	11	1	1	1	2	1
3	5	11	1	1	1	2	2
3	5	11	1	2	1	2	2
3	5	11	2	2	1	2	2
3	5	12	1	1	1	2	1
3	5	12	2	1	1	2	2
3	5	13	1	1	1	2	1
3	5	13	1	1	1	2	2
3	5	13	2	1	1	2	2
3	5	13	2	1	1	2	3
3	6	12	1	1	1	2	3
3	6	17	1	1	1	3	3
3	7	2	1	1	1	1	1
3	7	2	1	2	1	1	1
3	7	2	2	2	1	1	1
3	7	3	1	1	1	1	1
3	7	3	1	2	1	1	1
3	7	3	2	1	1	1	1
3	7	6	1	3	1	1	2
3	8	4	1	1	1	1	1
3	8	4	1	1	1	1	2
3	8	4	1	2	1	1	1
3	8	4	2	1	1	1	1
3	8	5	1	1	1	1	1
3	8	5	1	1	1	1	2
3	8	5	1	2	1	1	1
3	8	5	2	1	1	1	1
3	8	6	1	1	1	1	1
3	8	6	2	2	1	1	1
3	9	6	1	1	1	1	2
3	9	7	1	1	1	1	1
3	9	7	1	1	1	1	2
3	9	7	1	2	1	1	1
3	9	7	1	2	1	1	2
3	9	8	1	1	1	1	2
3	9	8	1	1	1	2	1
3	9	8	1	1	1	2	2
3	9	8	1	2	1	2	1
3	9	8	2	1	1	1	2
3	9	9	1	1	1	1	1
3	9	9	1	1	1	2	2
3	9	9	1	2	1	2	2
3	9	9	2	2	1	2	1
4	1	1	1	1	1	1	1
4	1	3	1	2	1	1	1
4	1	5	1	1	1	1	1
4	1	5	3	2	1	1	1
4	1	6	1	1	1	1	1
4	1	6	1	1	1	1	2
4	1	8	1	1	1	2	1
4	1	8	1	2	1	2	1
4	2	5	1	2	1	1	1
4	2	7	2	3	1	1	1
4	2	10	1	1	1	2	1
4	2	10	1	2	1	1	2
4	2	11	1	1	1	2	1
4	2	12	1	1	1	2	2
4	3	7	2	2	1	1	1
4	3	7	2	2	1	1	2
4	3	8	1	1	1	1	2
4	3	8	1	2	1	1	1
4	3	9	1	1	1	2	1
4	3	10	1	2	1	2	1
4	3	10	1	2	1	2	2
4	3	10	2	3	1	2	2
4	3	11	1	2	1	2	2
4	3	11	2	3	1	2	2
4	4	6	2	2	1	1	1
4	4	8	1	2	1	2	2
4	4	10	1	3	1	2	1
4	4	11	1	1	1	2	2
4	4	11	1	2	1	2	1
4	4	12	1	1	1	2	1
4	4	12	1	2	1	2	1
4	4	12	1	2	1	2	2
4	4	12	1	2	1	2	3
4	4	12	2	2	1	2	2
4	4	12	2	3	1	2	2
4	4	13	1	1	1	2	1
4	4	13	1	2	1	2	2
4	4	13	2	2	1	2	2
4	4	14	1	1	1	2	2
4	4	14	1	2	1	2	2
4	5	14	2	3	1	2	2
4	5	16	3	3	1	3	3
4	5	18	3	2	1	3	3
4	6	2	1	1	1	1	1
4	6	2	1	2	1	1	1
4	6	3	1	1	1	1	1
4	6	4	1	1	1	1	1
4	6	5	1	1	1	1	2
4	6	6	1	2	1	1	1
4	6	6	1	2	1	1	2
4	6	7	1	2	1	1	2
4	7	4	1	2	1	1	1
4	7	7	1	1	1	1	1
4	7	7	1	1	1	1	2
4	7	7	1	2	1	1	1
4	7	8	1	1	1	1	1
4	7	8	1	2	1	1	2
4	7	9	1	1	1	1	1
4	7	9	1	1	1	1	2
4	7	9	1	2	1	2	1
5	1	1	1	1	1	1	1
5	1	1	2	1	1	1	1
5	1	2	3	1	3	1	1
5	1	3	2	1	3	1	1
5	1	3	3	2	2	1	1
5	1	4	2	2	3	1	1
5	1	4	3	2	3	1	1
5	2	1	1	1	2	1	1
5	2	1	1	2	3	1	1
5	2	2	3	2	3	1	1
5	2	4	2	1	3	1	1
5	2	5	2	1	2	1	2
5	2	6	2	2	2	2	1
5	2	7	1	1	1	1	1
5	2	8	3	2	2	1	1
5	3	1	1	1	3	1	1
5	3	1	3	1	1	1	1
5	3	3	2	3	1	1	1
5	3	4	2	3	1	1	1
5	4	1	2	1	2	1	1
5	4	2	3	1	2	1	1
5	4	2	3	2	2	1	1
5	4	3	2	2	2	1	1
5	4	7	2	2	1	1	1
5	5	1	2	1	3	1	1
5	5	1	2	2	1	1	1
5	5	3	1	3	1	1	1
5	5	6	1	2	1	1	1
5	5	7	1	2	1	1	1
5	5	7	2	1	2	1	2
5	5	7	3	2	3	2	1
5	5	9	1	1	1	2	2
5	6	1	3	2	3	1	1
5	6	2	2	2	1	1	1
5	6	2	3	1	1	1	1
5	6	9	1	1	1	2	1
5	6	9	1	2	1	2	2
5	6	9	2	3	2	2	2
5	6	10	1	1	1	1	1
5	6	10	1	2	1	2	2
5	6	10	1	3	1	2	2
5	7	5	2	2	2	1	1
5	7	5	2	3	2	1	1
5	7	6	1	3	1	1	1
5	7	6	2	3	2	1	1
5	7	6	3	2	3	1	1
5	7	7	2	2	2	1	1
5	7	8	1	2	1	2	1
5	7	8	1	2	1	2	2
5	7	8	3	2	2	1	2
5	7	10	1	1	1	2	2
5	7	10	1	2	1	1	2
5	7	10	1	2	1	2	1
5	8	8	1	1	1	1	2
5	8	8	1	2	1	1	2
5	8	10	2	3	1	2	2
5	9	7	1	1	1	1	2
5	9	9	2	2	1	1	2
5	9	10	3	3	3	2	2
5	9	11	1	1	1	2	2
5	9	11	2	3	1	2	2
5	9	11	3	3	3	2	2
5	10	8	1	3	1	2	1
5	10	11	1	2	1	2	2
5	10	11	1	3	1	2	2
5	10	12	1	2	1	2	2
5	10	13	1	1	1	2	2
5	11	6	3	3	1	1	1
5	11	12	1	1	1	2	2
5	11	13	1	3	1	2	2
5	11	13	2	2	1	2	2
5	11	13	2	3	1	2	2
5	11	14	2	3	1	2	3
5	11	15	2	2	1	2	3
5	12	16	2	3	1	3	3
5	13	2	1	1	1	1	1
5	13	2	1	2	1	1	1
5	13	2	2	1	1	1	1
5	13	2	2	1	2	1	1
5	13	3	1	1	1	1	1
5	13	4	3	1	3	1	1
5	13	5	2	1	2	1	1
5	13	5	3	2	2	1	1
5	13	6	1	1	1	1	1
5	13	7	2	2	2	1	2
5	13	8	3	3	3	2	2
5	14	2	1	2	2	1	1
5	14	3	1	2	1	1	1
5	14	3	2	2	3	1	1
5	14	3	3	1	1	1	1
5	14	4	1	2	1	1	1
5	14	4	2	2	1	1	1
5	14	4	2	2	2	1	1
5	14	5	1	1	1	1	1
5	14	5	1	2	1	1	1
5	14	5	3	1	1	1	1
5	14	5	3	3	2	1	1
5	14	6	2	3	1	1	1
5	14	7	1	3	1	2	1
5	14	8	3	3	2	2	1
5	15	3	2	1	1	1	1
5	15	3	2	1	2	1	1
5	15	3	2	2	1	1	1
5	15	4	1	3	1	1	1
5	15	4	2	1	1	1	1
5	15	4	3	2	2	1	1
5	15	5	1	3	1	1	1
5	15	5	2	1	1	1	1
5	15	6	1	1	1	1	2
5	15	6	2	1	2	1	2
5	15	7	2	1	1	1	2
5	15	7	2	3	2	1	1
5	15	8	2	3	1	2	2
5	16	3	3	2	3	1	1
5	16	4	1	1	1	1	1
5	16	4	2	1	2	1	1
5	16	4	3	1	1	1	1
5	16	5	2	2	1	1	1
5	16	5	2	3	1	1	1
5	16	5	3	2	3	1	1
5	16	6	1	2	1	1	2
5	16	6	2	1	1	1	1
5	16	6	2	1	2	1	1
5	16	6	2	2	1	1	1
5	16	6	2	2	1	1	2
5	16	6	2	2	2	1	2
5	16	6	3	2	2	1	1
5	16	7	1	2	1	1	2
5	16	7	1	3	1	1	1
5	16	7	1	3	1	1	2
5	16	8	1	1	2	2	1
5	16	8	2	2	2	1	1
5	16	8	2	2	2	2	1
5	16	9	1	2	1	2	1
6	1	1	1	1	1	1	1
6	1	2	3	1	2	1	1
6	1	3	2	2	2	1	1
6	1	4	1	1	1	1	1
6	1	4	1	2	1	1	1
6	1	4	1	3	1	1	1
6	1	4	2	1	1	1	1
6	1	4	2	1	2	1	1
6	1	4	2	3	2	1	1
6	1	7	3	2	3	1	1
6	2	1	1	1	2	1	1
6	2	1	1	1	3	1	1
6	2	3	2	1	3	1	1
6	2	4	2	3	1	1	1
6	2	5	1	2	1	1	1
6	2	5	1	3	1	1	1
6	2	6	2	3	1	1	2
6	2	7	2	2	2	1	1
6	2	8	1	1	1	1	2
6	2	8	3	2	2	1	2
6	2	10	1	2	1	1	2
6	3	1	2	1	1	1	1
6	4	1	2	1	2	1	1
6	4	4	3	3	3	2	1
6	4	8	1	2	1	1	1
6	4	9	1	3	1	1	2
6	4	9	2	2	1	2	1
6	4	10	1	1	1	1	2
6	4	10	1	1	1	2	2
6	4	10	1	2	1	2	2
6	5	6	2	2	2	1	1
6	5	7	2	2	1	1	1
6	5	8	2	2	1	1	2
6	5	9	2	3	1	2	2
6	5	10	2	2	1	1	2
6	5	10	2	2	1	2	1
6	5	12	3	3	2	2	2
6	5	13	1	2	1	2	2
6	5	13	2	3	1	2	2
6	5	14	1	2	1	2	3
6	5	14	2	2	1	2	2
6	5	16	1	1	1	2	2
6	6	9	1	1	1	1	1
6	6	9	2	3	1	2	1
6	6	11	1	1	1	2	1
6	6	11	2	3	1	2	2
6	6	11	3	3	2	2	2
6	6	12	1	2	1	2	1
6	6	12	1	2	1	2	2
6	6	12	1	3	1	2	2
6	7	2	1	1	1	1	1
6	7	2	1	2	1	1	1
6	7	2	2	1	1	1	1
6	7	2	2	1	2	1	1
6	7	2	2	2	1	1	1
6	7	2	3	3	1	1	1
6	7	3	1	1	1	1	1
6	7	3	1	2	1	1	1
6	7	3	2	1	2	1	1
6	7	3	2	2	1	1	1
6	7	5	1	2	1	1	2
6	7	7	2	3	1	2	2
6	7	7	3	3	2	1	1
6	8	2	2	2	2	1	1
6	8	3	3	3	2	1	1
6	8	4	2	2	1	1	1
6	8	4	3	2	1	1	1
6	8	5	1	1	1	1	1
6	8	5	1	1	1	1	2
6	8	5	2	1	1	1	1
6	8	5	2	2	1	1	1
6	8	5	2	2	2	1	1
6	8	5	3	2	3	1	1
6	8	6	1	2	1	1	1
6	8	6	1	3	1	1	1
6	8	6	2	2	1	1	1
6	8	6	3	3	2	1	1
6	8	7	1	1	1	1	2
6	8	7	1	2	1	2	1
6	8	7	2	1	1	1	2
6	8	7	2	3	1	1	1
6	8	7	3	2	2	1	1
6	8	7	3	2	2	2	1
6	8	8	2	1	1	1	1
6	8	8	2	2	1	1	1
6	8	8	2	3	1	1	1
6	8	8	2	3	1	2	1
6	9	4	1	1	3	1	1
6	9	5	2	3	1	1	1
6	9	5	3	2	2	1	1
6	9	6	1	1	1	1	1
6	9	6	1	2	1	1	2
6	9	6	3	3	2	2	1
6	9	7	1	2	1	1	1
6	9	7	1	2	1	1	2
6	9	8	1	3	1	1	1
6	9	8	3	3	3	2	1
6	9	9	1	1	1	2	1
6	9	9	1	2	1	1	2
6	9	9	1	3	1	2	1
7	1	1	1	1	1	1	1
7	1	1	2	1	1	1	1
7	1	1	2	1	2	1	1
7	2	1	1	1	2	1	1
7	2	2	1	1	1	1	1
7	2	2	2	1	1	1	1
7	2	2	2	1	2	1	1
7	2	2	3	1	2	1	1
7	2	3	1	1	1	1	2
7	2	3	3	1	1	1	1
7	3	1	3	1	1	1	1
7	3	4	2	1	1	1	1
7	3	5	2	1	1	1	1
7	4	8	1	1	1	1	1
7	4	9	1	1	1	1	1
7	4	9	1	1	1	2	1
7	4	10	1	1	1	1	1
7	4	10	1	1	1	2	2
7	4	13	2	1	1	2	2
7	5	12	2	2	1	2	2
7	5	14	2	1	1	2	1
7	6	3	1	1	1	1	1
7	6	3	2	1	1	1	1
7	6	4	3	1	3	1	1
7	7	3	2	1	1	1	2
7	7	4	1	1	1	1	1
7	7	4	1	1	1	1	2
7	7	4	3	1	1	1	1
7	7	6	1	1	1	1	2
7	8	3	3	1	2	1	1
7	8	5	1	1	1	1	1
7	8	5	1	1	1	1	2
7	8	8	1	1	1	2	1
7	9	6	1	1	1	1	1
7	9	7	1	1	1	1	1
7	9	7	1	1	1	1	2
7	9	7	2	1	1	1	2
7	9	9	1	1	1	2	2
7	9	9	2	1	1	2	2
7	9	9	3	1	1	2	2
